Store_ID,Product_ID,Best_Model_1,Best1_MAE_Sales,Best1_RMSE_Sales,Best1_MAPE_Sales,Best1_R2_Sales,Best1_MAE_Profit,Best1_RMSE_Profit,Best1_MAPE_Profit,Best1_R2_Profit,Best_Model_2,Best2_MAE_Sales,Best2_RMSE_Sales,Best2_MAPE_Sales,Best2_R2_Sales,Best2_MAE_Profit,Best2_RMSE_Profit,Best2_MAPE_Profit,Best2_R2_Profit
1,1,RF,83.28365517241379,102.45951576951815,185.18057460413138,0.06215294116149883,4261.594124137931,5647.241207251866,185.18057460413138,0.31438342437510647,GB,83.84135165777356,103.98404655108858,195.77421414686737,0.0340362011723907,4299.110720949724,5696.7115074056965,195.77421414686737,0.302318694968148
1,10,Prophet,82.79357331816995,102.1037881356837,175.22654206965612,0.19341542466831307,4662.590554834387,6440.376598256052,175.22654206965612,0.3610672013940164,RF,88.86089655172412,106.65843519352342,194.63472533989153,0.11985015272079558,5004.910928275862,6725.535434716566,194.63472533989153,0.30323490480443416
1,11,GB,92.2416767429991,117.87183113184521,425.33502819835763,0.05670154074662059,4631.763041850024,6857.170386381935,425.3350281983577,0.31936809865211724,Prophet,94.8301739655824,117.47420742141702,527.332253415719,0.06305497047085551,4809.270758743832,6930.311178112828,527.332253415719,0.3047709839459751
1,12,GB,77.38678216105008,98.61386353890231,269.02547989105597,-0.0032199486103334785,3882.1022224729863,5771.398600340393,269.02547989105597,0.28994158549551685,Prophet,77.42426531537402,98.02361344844716,239.80851699214423,0.008753591313972797,3898.042310388595,5772.622131318838,239.80851699214423,0.289640490174635
1,13,Prophet,75.06886290057056,96.15461163254896,445.4673401718954,0.07970834141487737,3882.869201204476,5212.816111419956,445.46734017189544,0.16346048392579737,RF,78.2743448275862,101.27725743957899,449.4567796446079,-0.02096090905601322,4105.357933793104,5507.227087863894,449.4567796446079,0.06629943737656774
1,14,Prophet,89.77042727141882,110.67621580526118,211.86524417346976,0.043780605642718795,5146.002860771366,6798.0359243535295,211.86524417346976,0.11778008068058898,RF,92.63710344827587,112.1215382427972,272.04625106502516,0.01864296587664671,5245.475276551723,6962.395977121449,272.0462510650251,0.0746044901636208
1,15,GB,78.72963319571765,96.07568959172819,379.1359450305996,0.23400655419162475,4279.996950080035,5756.751382246754,379.1359450305996,0.3201048682334313,RF,79.78386206896552,96.78111822828481,407.1028294172194,0.2227167582411228,4298.253373103448,5682.921214731441,407.1028294172194,0.33743230938872093
1,16,Prophet,83.77620411544463,104.55574268675218,261.99841680505773,0.17710585696832193,4761.382691766141,6608.2235353861115,261.99841680505773,0.4011622293963861,XGB,85.81449127197266,110.74822321514914,257.1272634973162,0.07674485445022583,4799.359059201273,6941.031431533656,257.1272634973162,0.33932517822417363
1,17,Prophet,86.37443591711003,104.85799088845526,236.47825981819796,0.11377123856348137,4679.374808134792,6077.798002314518,236.47825981819796,0.30977376383983946,RF,87.93151724137931,106.20351701105402,258.4314559902742,0.09088133588140435,4824.274266206896,6360.550022990536,258.4314559902742,0.2440583328402851
1,18,Prophet,75.79423919876123,94.14703112473103,276.5490826403375,0.22829865783873582,4152.000597553227,5730.059211467437,276.5490826403374,0.4678499360909254,RF,78.10365517241381,99.06608281762021,274.7520424010164,0.14555132898698675,4266.92849724138,6091.9983357657775,274.7520424010164,0.3985002500185
1,19,Prophet,83.60449809132064,102.63097324308912,338.68569281441995,0.08378613150857794,4549.623421015949,6045.928398940629,338.68569281441995,0.21461447892887442,GB,85.07628022806081,102.14450893835227,370.55230736115965,0.09245113820092132,4582.660120104907,6077.933213424149,370.55230736115965,0.20627741414856948
1,2,Prophet,74.42244075719445,95.14352042795387,261.7000301817002,0.030919679487738883,3802.6176737871438,5299.994020271636,261.7000301817002,0.32805633697407277,GB,75.75351791272202,94.11673909778037,301.3949203980493,0.05172329100700934,3970.4795441799847,5345.736505401877,301.39492039804924,0.3164076405411542
1,20,Prophet,73.20268768507407,95.86984850737196,230.35671249470576,0.1302297399522434,4218.1278350989105,6186.357643843024,230.35671249470576,0.2931755842001943,GB,76.81177851404738,98.00919483088931,249.18231802120064,0.09097858549161864,4323.600912636169,6266.487535584503,249.18231802120064,0.2747464624040563
1,3,Prophet,88.78556189892439,108.66972576147899,319.63755995499025,0.03884382309590595,4467.6115947309245,5935.958059575727,319.63755995499025,0.24449937076563089,RF,89.6115172413793,106.79566948794933,343.41572176981094,0.07170907588678355,4512.762164827585,5830.354750149262,343.41572176981094,0.27114163316133943
1,4,RF,84.5128275862069,105.37735871455108,260.9618908041481,0.13158052736562764,4668.4035262068965,6236.539014141645,260.96189080414814,0.34524089900237076,GB,86.63216229080997,106.65209565011048,271.40991287689513,0.11044312079472673,4731.099310425152,6236.907630857075,271.40991287689513,0.34516349636561117
1,5,Prophet,75.62673099702091,97.1889524123805,164.82162632554275,0.1731601270034051,4393.743547912231,6288.840374285892,164.82162632554275,0.37028401296090685,GB,76.61382041033377,96.6179070278808,203.16008180767673,0.18284797641376027,4463.48903770772,6190.3773145498735,203.16008180767673,0.3898483107351792
1,6,GB,84.26213641516156,107.26179375688587,213.21759515311834,0.044437257930008855,4044.4958459790732,5630.270673235177,213.21759515311834,0.27137783182108854,Prophet,84.4064541763336,104.84419672987445,217.49920366970912,0.08702709164450961,4044.5290787430627,5530.654099078545,217.49920366970917,0.29693281595395005
1,7,Prophet,69.33687000784013,86.38289417924447,213.34584005723886,0.17734849058683755,3745.6691193498077,5234.191725077544,213.34584005723892,0.4395212072043946,RF,71.96572413793103,87.72720005594144,262.9455224048874,0.15154476317142584,3807.9910262068965,5166.751336153579,262.9455224048874,0.45387123415015895
1,8,Prophet,76.35941794667646,99.19649211309415,320.58710791176793,0.19480990332551906,4034.9817220047066,5587.634378598112,320.58710791176793,0.43734182421705936,RF,83.68496551724137,103.5446232640621,390.2873241760628,0.12267420137283436,4475.682921379311,6045.299673870196,390.28732417606267,0.3413960349960449
1,9,Prophet,80.84072450648017,100.97105614443967,187.01831963930488,0.08108915312800757,4664.621549530289,6519.556664936948,187.01831963930488,0.3560261309106494,GB,81.84584049230925,101.682257398154,206.870163381665,0.06809865505468504,4721.670264685173,6525.398875130715,206.870163381665,0.35487147682183506
2,1,Prophet,78.351177639507,99.85501579683834,248.79259997508072,0.1412744578980687,4339.616032995232,6505.253129888874,248.79259997508072,0.4048100993495123,RF,79.68255172413794,101.0509677306969,307.5809809638208,0.12058156508174811,4377.938887586207,6424.286941346703,307.5809809638208,0.41953369644479066
2,10,Prophet,83.56621888734857,108.56245893125445,433.08540244305897,0.11455551667442188,4329.175027331534,6127.230779221821,433.08540244305897,0.22034264435790563,GB,84.43415732093104,110.04936649040006,432.9910598576164,0.0901347320506074,4334.910832775868,6078.998281170785,432.9910598576164,0.23256898735626386
2,11,Prophet,80.01846737030836,102.11141696608678,208.2754633821581,0.14744370124045447,4718.912419377836,6465.099642361542,208.2754633821581,0.37108675232888055,RF,81.33110344827585,101.1849260989757,221.355158496304,0.1628445682599372,4775.430011724138,6316.381172244535,221.355158496304,0.39968809222025514
2,12,Prophet,88.21589261816162,108.93973763598929,225.19980070587317,0.13604439491456577,4563.485529505327,6041.775061563446,225.19980070587317,0.27734086593759133,GB,90.68718164279665,111.9941589179283,263.82950213066147,0.08691854628199835,4790.708011849332,6441.5798728704,263.82950213066147,0.17853477290675257
2,13,RF,77.93241379310345,98.12720553550324,482.4726151169849,0.1445661420277512,4592.778519310345,6474.897528458303,482.4726151169848,0.34795634278751675,Prophet,77.94779523690538,97.49060897985743,459.8844384090312,0.15562932920565875,4674.91136104168,6528.35119695753,459.8844384090312,0.33714598019217135
